id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7476302,01-01-2010 09:06,1718,2029,$52.94,Online Transaction,15143,ONLINE,,,4784,
7476321,01-01-2010 09:10,1963,3317,$10.18,Swipe Transaction,88852,Vacaville,CA,95687,4121,
7476377,01-01-2010 09:24,1595,2472,$1.57,Swipe Transaction,14528,Bronx,NY,10463,5499,
7476385,01-01-2010 09:26,1659,185,$27.72,Swipe Transaction,63683,Wauconda,IL,60084,4121,
7476420,01-01-2010 09:34,1797,1127,$21.14,Swipe Transaction,59935,Kailua,HI,96734,5499,
7476429,01-01-2010 09:36,285,3442,$3.08,Swipe Transaction,75781,Watsonville,CA,95076,5411,
7476433,01-01-2010 09:36,1797,1127,$99.00,Swipe Transaction,59935,Kailua,HI,96734,5499,
7476438,01-01-2010 09:37,1776,4938,$40.66,Swipe Transaction,61195,Nashport,OH,43830,5541,
7476440,01-01-2010 09:38,1575,2112,$10.38,Swipe Transaction,61195,Sarasota,FL,34232,5541,
7476466,01-01-2010 09:43,1776,4938,$81.00,Swipe Transaction,61195,Nashport,OH,43830,5541,
7476482,01-01-2010 09:48,1718,4706,$42.95,Online Transaction,15143,ONLINE,,,4784,
7476483,01-01-2010 09:48,1776,4938,$-81.00,Swipe Transaction,61195,Nashport,OH,43830,5541,
7476518,01-01-2010 09:58,1797,1127,$-99.00,Swipe Transaction,59935,Kailua,HI,96734,5499,
7476543,01-01-2010 10:02,1168,3239,$75.63,Swipe Transaction,61195,Berkeley Heights,NJ,7922,5541,
7476559,01-01-2010 10:04,1168,3239,$61.00,Swipe Transaction,61195,Berkeley Heights,NJ,7922,5541,
7476570,01-01-2010 10:07,1595,2429,$26.69,Swipe Transaction,66428,Bronx,NY,10463,4121,
7476571,01-01-2010 10:07,1654,4276,$29.29,Swipe Transaction,82981,Naugatuck,CT,6770,5912,
7476583,01-01-2010 10:10,1168,3239,$-61.00,Swipe Transaction,61195,Berkeley Heights,NJ,7922,5541,
7476662,01-01-2010 10:27,1168,3239,$108.78,Swipe Transaction,94123,Morris Plains,NJ,7950,5310,
7476679,01-01-2010 10:32,1098,5179,$13.57,Swipe Transaction,50867,Hawarden,IA,51023,5541,
7476762,01-01-2010 10:46,1776,4938,$59.72,Online Transaction,39021,ONLINE,,,4784,
7476782,01-01-2010 10:52,112,1134,$17.15,Swipe Transaction,50783,Atlanta,GA,30327,5411,
7476788,01-01-2010 10:53,1575,2112,$11.43,Swipe Transaction,35451,Sarasota,FL,34231,5812,
7476816,01-01-2010 10:59,96,5175,$171.17,Swipe Transaction,81591,Yorba Linda,CA,92886,5300,
7476834,01-01-2010 11:04,598,2040,$13.22,Swipe Transaction,2998,Gorham,NH,3581,5812,
7476842,01-01-2010 11:05,1169,5763,$33.54,Swipe Transaction,89707,Round Rock,TX,78665,4121,
7476865,01-01-2010 11:11,598,32,$20.28,Online Transaction,16798,ONLINE,,,4121,
7476894,01-01-2010 11:17,285,3442,$7.85,Swipe Transaction,75936,Watsonville,CA,95076,5814,
7476917,01-01-2010 11:21,987,5090,$9.18,Swipe Transaction,83229,Gaithersburg,MD,20879,5411,
7476920,01-01-2010 11:21,1776,4938,$10.61,Swipe Transaction,79664,Nashport,OH,43830,5814,
7476947,01-01-2010 11:27,1797,1127,$5.10,Swipe Transaction,26810,Kailua,HI,96734,5541,
7476948,01-01-2010 11:28,285,2156,$21.98,Swipe Transaction,17707,Watsonville,CA,95076,7538,
7476966,01-01-2010 11:32,909,3719,$11.18,Swipe Transaction,44578,Olympia,WA,98516,5812,
7476965,01-01-2010 11:32,208,4980,$104.77,Swipe Transaction,43293,Bothell,WA,98021,5499,
7477004,01-01-2010 11:37,1595,2429,$10.32,Swipe Transaction,66428,Bronx,NY,10463,4121,
7477006,01-01-2010 11:37,1776,4938,$32.58,Online Transaction,39021,ONLINE,,,4784,
7477052,01-01-2010 11:48,208,4980,$-75.00,Swipe Transaction,43293,Bothell,WA,98021,5499,
7477076,01-01-2010 11:55,208,4980,$75.00,Swipe Transaction,43293,Bothell,WA,98021,5499,
7477082,01-01-2010 11:56,1169,5763,$53.64,Online Transaction,41122,ONLINE,,,4784,
7477084,01-01-2010 11:56,1575,224,$100.00,Swipe Transaction,27092,Osprey,FL,34229,4829,
7477088,01-01-2010 11:57,208,4980,$15.21,Swipe Transaction,22204,Federal Way,WA,98023,5541,
7477117,01-01-2010 12:01,598,32,$12.51,Swipe Transaction,25887,Franconia,NH,3580,5814,
7477126,01-01-2010 12:02,1963,4565,$20.77,Online Transaction,16798,ONLINE,,,4121,
7477128,01-01-2010 12:03,1595,2429,$25.47,Online Transaction,16798,ONLINE,,,4121,
7477132,01-01-2010 12:04,1654,4276,$53.15,Swipe Transaction,43293,Naugatuck,CT,6770,5499,
7477173,01-01-2010 12:11,1654,4276,$-63.00,Swipe Transaction,43293,Naugatuck,CT,6770,5499,
7477220,01-01-2010 12:18,1696,2408,$9.94,Online Transaction,50404,ONLINE,,,4784,
7477245,01-01-2010 12:23,1654,4276,$63.00,Swipe Transaction,43293,Naugatuck,CT,6770,5499,
7477280,01-01-2010 12:30,1963,3317,$19.77,Online Transaction,16798,ONLINE,,,4121,
7477293,01-01-2010 12:32,1727,5982,$-54.00,Swipe Transaction,61195,Columbia,SC,29229,5541,
7477298,01-01-2010 12:34,208,4980,$-78.00,Swipe Transaction,22204,Federal Way,WA,98023,5541,
7477316,01-01-2010 12:36,1727,5982,$54.00,Swipe Transaction,61195,Columbia,SC,29229,5541,
7477374,01-01-2010 12:50,208,4980,$78.00,Swipe Transaction,22204,Federal Way,WA,98023,5541,
7477390,01-01-2010 12:53,1595,2429,$12.98,Swipe Transaction,80141,Bronx,NY,10463,5411,
7477399,01-01-2010 12:55,208,4980,$96.59,Swipe Transaction,22204,Federal Way,WA,98023,5541,
7477414,01-01-2010 12:57,1727,5982,$23.78,Swipe Transaction,61195,Columbia,SC,29229,5541,
7477429,01-01-2010 12:59,1169,3389,$45.75,Online Transaction,41122,ONLINE,,,4784,
7477478,01-01-2010 13:09,598,32,$23.24,Online Transaction,39021,ONLINE,,,4784,
7477493,01-01-2010 13:11,1696,2408,$-89.00,Swipe Transaction,61195,Merritt Island,FL,32952,5541,
7477530,01-01-2010 13:18,1696,2408,$89.00,Swipe Transaction,61195,Merritt Island,FL,32952,5541,
7477535,01-01-2010 13:19,1888,1017,$13.72,Swipe Transaction,22204,Savage,MN,55378,5541,
7477565,01-01-2010 13:25,1963,4565,$23.37,Online Transaction,18563,ONLINE,,,4121,
7477584,01-01-2010 13:29,1696,2408,$149.43,Swipe Transaction,61195,Merritt Island,FL,32952,5541,
7477592,01-01-2010 13:31,114,3398,$63.26,Swipe Transaction,40404,North Hollywood,CA,91606,4900,
7477601,01-01-2010 13:32,1727,3766,$-70.00,Swipe Transaction,59935,Columbia,SC,29229,5499,
7477639,01-01-2010 13:42,1727,3766,$70.00,Swipe Transaction,59935,Columbia,SC,29229,5499,
7477642,01-01-2010 13:43,1727,3766,$37.90,Swipe Transaction,59935,Columbia,SC,29229,5499,
7477644,01-01-2010 13:44,114,3398,$91.07,Online Transaction,50292,ONLINE,,,7801,
7477654,01-01-2010 13:47,96,3773,$334.39,Online Transaction,86369,ONLINE,,,4899,
7477696,01-01-2010 13:58,112,1134,$64.90,Swipe Transaction,17799,Atlanta,GA,30324,5310,
7477711,01-01-2010 14:02,1797,1127,$36.87,Online Transaction,15143,ONLINE,,,4784,
7477790,01-01-2010 14:19,1797,1127,$32.69,Swipe Transaction,33326,Kahului,HI,96732,4121,
7477807,01-01-2010 14:23,1659,185,$35.64,Online Transaction,16798,ONLINE,,,4121,
7477835,01-01-2010 14:32,1718,5144,$52.32,Online Transaction,15143,ONLINE,,,4784,
7477850,01-01-2010 14:36,112,1134,$39.36,Online Transaction,39021,ONLINE,,,4784,
7477858,01-01-2010 14:38,208,2426,$-76.00,Swipe Transaction,43293,Bothell,WA,98021,5499,
7477896,01-01-2010 14:47,208,2426,$76.00,Swipe Transaction,43293,Bothell,WA,98021,5499,
7477913,01-01-2010 14:52,208,2426,$75.54,Swipe Transaction,43293,Bothell,WA,98021,5499,
7477929,01-01-2010 14:54,1659,185,$33.77,Swipe Transaction,63683,Wauconda,IL,60084,4121,
7477955,01-01-2010 15:02,909,3719,$-73.00,Swipe Transaction,56431,Olympia,WA,98516,5541,
7478000,01-01-2010 15:15,909,3719,$73.00,Swipe Transaction,56431,Olympia,WA,98516,5541,
7478001,01-01-2010 15:15,1169,2485,$41.54,Online Transaction,41122,ONLINE,,,4784,
7478011,01-01-2010 15:17,909,3719,$27.80,Swipe Transaction,56431,Olympia,WA,98516,5541,
7478016,01-01-2010 15:18,1696,2408,$9.15,Online Transaction,39021,ONLINE,,,4784,
7478030,01-01-2010 15:21,1718,5144,$38.63,Online Transaction,15143,ONLINE,,,4784,
7478036,01-01-2010 15:22,1659,185,$33.00,Online Transaction,16798,ONLINE,,,4121,
7478038,01-01-2010 15:23,112,1134,$50.75,Online Transaction,39021,ONLINE,,,4784,
7478061,01-01-2010 15:30,1776,4938,$-66.00,Swipe Transaction,61195,Nashport,OH,43830,5541,
7478067,01-01-2010 15:32,1659,5056,$37.66,Swipe Transaction,63683,Wauconda,IL,60084,4121,
7478094,01-01-2010 15:38,1776,4938,$66.00,Swipe Transaction,61195,Nashport,OH,43830,5541,
7478117,01-01-2010 15:45,1098,5179,$62.87,Swipe Transaction,50867,Hawarden,IA,51023,5541,
7478125,01-01-2010 15:48,1559,2920,$28.64,Swipe Transaction,1770,Acworth,GA,30101,5912,
7478132,01-01-2010 15:50,1776,4938,$43.58,Swipe Transaction,61195,Nashport,OH,43830,5541,
7478143,01-01-2010 15:53,1098,5179,$69.00,Swipe Transaction,50867,Hawarden,IA,51023,5541,
7478164,01-01-2010 15:57,1098,5179,$-69.00,Swipe Transaction,50867,Hawarden,IA,51023,5541,
7478168,01-01-2010 15:57,1575,2112,$0.96,Swipe Transaction,14528,Sarasota,FL,34235,5499,
7478174,01-01-2010 15:59,1659,185,$21.83,Swipe Transaction,10186,Wauconda,IL,60084,5812,
7478178,01-01-2010 16:00,464,3233,$80.00,Swipe Transaction,27092,Orlando,FL,32807,4829,
7478185,01-01-2010 16:01,1963,4565,$18.66,Online Transaction,18563,ONLINE,,,4121,
7478209,01-01-2010 16:09,1595,2429,$47.28,Swipe Transaction,84146,Bronx,NY,10463,5211,
7478224,01-01-2010 16:12,1963,3317,$125.66,Swipe Transaction,72719,Vacaville,CA,95687,7922,
7478225,01-01-2010 16:13,96,3773,$102.17,Swipe Transaction,61195,Yorba Linda,CA,92886,5541,
7478233,01-01-2010 16:16,96,3773,$-86.00,Swipe Transaction,61195,Yorba Linda,CA,92886,5541,
7478245,01-01-2010 16:19,96,3773,$86.00,Swipe Transaction,61195,Yorba Linda,CA,92886,5541,
7478262,01-01-2010 16:21,1659,3438,$33.22,Swipe Transaction,63683,Wauconda,IL,60084,4121,
7478275,01-01-2010 16:24,1169,2485,$36.45,Swipe Transaction,89707,Round Rock,TX,78665,4121,
7478299,01-01-2010 16:31,114,3398,$27.86,Online Transaction,15143,ONLINE,,,4784,
7478319,01-01-2010 16:35,96,5175,$109.43,Swipe Transaction,61195,Yorba Linda,CA,92886,5541,
7478331,01-01-2010 16:37,1718,4706,$13.35,Swipe Transaction,55049,West Covina,CA,91792,5921,
7478333,01-01-2010 16:38,1098,4626,$-93.00,Swipe Transaction,59935,Granville,IA,51022,5499,
7478361,01-01-2010 16:44,285,2156,$140.00,Swipe Transaction,27092,San Jose,CA,95111,4829,
7478368,01-01-2010 16:44,1654,4276,$33.15,Online Transaction,16798,ONLINE,,,4121,
7478376,01-01-2010 16:46,1098,4626,$67.59,Swipe Transaction,59935,Granville,IA,51022,5499,
7478396,01-01-2010 16:51,987,5090,$25.00,Online Transaction,39021,ONLINE,,,4784,
7478413,01-01-2010 16:56,1098,4626,$93.00,Swipe Transaction,59935,Granville,IA,51022,5499,
7478429,01-01-2010 17:00,114,3398,$28.84,Online Transaction,15143,ONLINE,,,4784,
7478479,01-01-2010 17:20,208,4980,$53.40,Swipe Transaction,100034,Bothell,WA,98021,5812,
7478489,01-01-2010 17:24,987,4146,$27.75,Online Transaction,39021,ONLINE,,,4784,
7478503,01-01-2010 17:30,1575,2112,$137.87,Swipe Transaction,98374,Sarasota,FL,34230,5411,
7478521,01-01-2010 17:37,96,3695,$-98.00,Swipe Transaction,43293,Yorba Linda,CA,92887,5499,
7478526,01-01-2010 17:39,464,3233,$2.09,Swipe Transaction,14528,Orlando,FL,32808,5499,
7478550,01-01-2010 17:46,1575,2112,$0.72,Swipe Transaction,14528,Sarasota,FL,34235,5499,
7478554,01-01-2010 17:47,1797,1127,$52.10,Swipe Transaction,98648,Kahului,HI,96732,5814,
7478551,01-01-2010 17:47,96,3695,$98.00,Swipe Transaction,43293,Yorba Linda,CA,92887,5499,
7478556,01-01-2010 17:48,987,5090,$16.97,Online Transaction,39021,ONLINE,,,4784,
7478569,01-01-2010 17:53,96,3695,$123.55,Swipe Transaction,43293,Yorba Linda,CA,92887,5499,
7478596,01-01-2010 18:03,987,4146,$94.29,Swipe Transaction,22204,Gaithersburg,MD,20879,5541,
7478633,01-01-2010 18:17,909,3719,$49.45,Swipe Transaction,28644,Olympia,WA,98516,5812,
7478636,01-01-2010 18:18,1776,4938,$18.06,Swipe Transaction,69048,Nashport,OH,43830,5921,
7478672,01-01-2010 18:33,909,2583,$24.51,Swipe Transaction,56431,Olympia,WA,98516,5541,
7478688,01-01-2010 18:36,1559,5797,$-51.00,Swipe Transaction,59935,Acworth,GA,30101,5499,
7478694,01-01-2010 18:37,987,4146,$95.82,Online Transaction,88459,ONLINE,,,5311,
7478695,01-01-2010 18:38,285,5747,$100.00,Swipe Transaction,27092,San Jose,CA,95111,4829,
7478709,01-01-2010 18:41,114,3398,$2.18,Swipe Transaction,50783,North Hollywood,CA,91606,5411,
7478715,01-01-2010 18:44,96,3695,$1.92,Swipe Transaction,14528,Yorba Linda,CA,92887,5499,
7478720,01-01-2010 18:45,1169,2485,$21.33,Online Transaction,18563,ONLINE,,,4121,
7478728,01-01-2010 18:47,1559,5797,$51.00,Swipe Transaction,59935,Acworth,GA,30101,5499,
7478732,01-01-2010 18:48,1559,5797,$48.16,Swipe Transaction,59935,Acworth,GA,30101,5499,
7478735,01-01-2010 18:50,997,5046,$50.06,Online Transaction,16798,ONLINE,,,4121,
7478747,01-01-2010 18:54,909,2583,$59.00,Swipe Transaction,56431,Olympia,WA,98516,5541,
7478754,01-01-2010 18:56,909,2583,$-59.00,Swipe Transaction,56431,Olympia,WA,98516,5541,
7478763,01-01-2010 19:00,114,3398,$2.41,Swipe Transaction,41137,North Hollywood,CA,91606,5411,
7478765,01-01-2010 19:00,1169,5763,$35.06,Swipe Transaction,89707,Round Rock,TX,78665,4121,
7478788,01-01-2010 19:11,1559,2920,$39.11,Swipe Transaction,61195,Acworth,GA,30101,5541,Insufficient Balance
7478791,01-01-2010 19:12,1559,2920,$39.11,Swipe Transaction,61195,Acworth,GA,30101,5541,Insufficient Balance
7478798,01-01-2010 19:14,987,5090,$109.23,Swipe Transaction,69972,Washington Grove,MD,20880,5814,
7478807,01-01-2010 19:16,1559,2920,$69.00,Swipe Transaction,61195,Acworth,GA,30101,5541,
7478812,01-01-2010 19:17,1559,5797,$48.17,Swipe Transaction,55060,Acworth,GA,30101,5812,
7478821,01-01-2010 19:22,1559,2920,$74.00,Swipe Transaction,61195,Acworth,GA,30101,5541,
7478829,01-01-2010 19:24,1559,2920,$-74.00,Swipe Transaction,61195,Acworth,GA,30101,5541,
7478835,01-01-2010 19:28,1559,2920,$-69.00,Swipe Transaction,61195,Acworth,GA,30101,5541,
7478848,01-01-2010 19:34,1888,1016,$69.05,Swipe Transaction,59935,Savage,MN,55378,5499,
7478854,01-01-2010 19:36,1098,5179,$57.00,Swipe Transaction,50867,Hawarden,IA,51023,5541,
7478862,01-01-2010 19:39,1098,5179,$48.21,Swipe Transaction,50867,Hawarden,IA,51023,5541,
7478870,01-01-2010 19:41,1595,2472,$21.69,Online Transaction,18563,ONLINE,,,4121,
7478877,01-01-2010 19:45,1559,5797,$39.81,Swipe Transaction,59935,Acworth,GA,30101,5499,
7478878,01-01-2010 19:45,1888,1016,$-55.00,Swipe Transaction,59935,Savage,MN,55378,5499,
7478880,01-01-2010 19:46,1098,5179,$-57.00,Swipe Transaction,50867,Hawarden,IA,51023,5541,
7478883,01-01-2010 19:47,1559,5797,$60.00,Swipe Transaction,59935,Acworth,GA,30101,5499,
7478884,01-01-2010 19:48,1559,5797,$-60.00,Swipe Transaction,59935,Acworth,GA,30101,5499,
7478900,01-01-2010 19:52,1169,3389,$33.64,Online Transaction,41122,ONLINE,,,4784,
7478906,01-01-2010 19:54,1168,3239,$390.17,Swipe Transaction,31883,Atlantic City,NJ,8401,7995,
7478916,01-01-2010 19:57,1888,1016,$55.00,Swipe Transaction,59935,Savage,MN,55378,5499,
7478948,01-01-2010 20:07,1559,5797,$67.21,Swipe Transaction,25887,Acworth,GA,30101,5814,
7478981,01-01-2010 20:19,1168,3239,$583.16,Swipe Transaction,34795,Berkeley Heights,NJ,7922,7995,
7479044,01-01-2010 20:42,1168,3239,$36.64,Online Transaction,39021,ONLINE,,,4784,Bad CVV
7479055,01-01-2010 20:44,1168,3239,$43.22,Online Transaction,39021,ONLINE,,,4784,
7479076,01-01-2010 20:52,997,5046,$10.38,Swipe Transaction,7470,Chula Vista,CA,91913,5411,
7479095,01-01-2010 21:00,997,5825,$13.30,Swipe Transaction,50783,Jamul,CA,91935,5411,
7479101,01-01-2010 21:01,1168,3239,$34.99,Online Transaction,39021,ONLINE,,,4784,
7479127,01-01-2010 21:12,1169,5174,$14.75,Swipe Transaction,10782,Round Rock,TX,78665,5813,
7479190,01-01-2010 21:39,464,3233,$90.51,Swipe Transaction,75936,Orlando,FL,32804,5814,
7479222,01-01-2010 21:52,1797,1127,$33.72,Swipe Transaction,67993,Kahului,HI,96732,5310,
7479269,01-01-2010 22:13,1776,4938,$80.00,Swipe Transaction,27092,Saint Clairsville,OH,43950,4829,
7479302,01-01-2010 22:24,1727,5982,$16.64,Swipe Transaction,44561,Columbia,SC,29229,4121,
7479311,01-01-2010 22:27,1575,2112,$16.22,Swipe Transaction,52788,Osprey,FL,34229,5813,
7479328,01-01-2010 22:32,909,3719,$42.07,Swipe Transaction,45021,Lake Stevens,WA,98258,4131,
7479371,01-01-2010 22:47,1168,3239,$60.00,Swipe Transaction,43293,Berkeley Heights,NJ,7922,5499,
7479379,01-01-2010 22:51,1168,3239,$-60.00,Swipe Transaction,43293,Berkeley Heights,NJ,7922,5499,
7479391,01-01-2010 22:57,1797,1127,$40.06,Online Transaction,15143,ONLINE,,,4784,
7479393,01-01-2010 22:58,1168,3239,$69.87,Swipe Transaction,43293,Berkeley Heights,NJ,7922,5499,
7479443,01-01-2010 23:55,1963,4565,$67.68,Swipe Transaction,67570,Granite Bay,CA,95746,5311,
7596200,01-02-2010 00:03,1797,1127,$32.69,Swipe Transaction,54343,San Leandro,CA,94577,4121,
7596212,01-02-2010 00:30,114,3398,$53.13,Swipe Transaction,61195,North Hollywood,CA,91606,5541,
7596223,01-02-2010 00:43,114,3398,$86.00,Swipe Transaction,61195,North Hollywood,CA,91606,5541,
7596224,01-02-2010 00:43,114,3398,$-86.00,Swipe Transaction,61195,North Hollywood,CA,91606,5541,
7596233,01-02-2010 00:52,1963,4565,$41.23,Swipe Transaction,25759,Vacaville,CA,95687,5812,
7596247,01-02-2010 01:22,1575,224,$18.54,Swipe Transaction,29232,Osprey,FL,34229,4121,
7596318,01-02-2010 03:51,1797,1127,$23.87,Online Transaction,9932,ONLINE,,,5311,
7596333,01-02-2010 04:37,1718,2029,$29.54,Online Transaction,15143,ONLINE,,,4784,
7596339,01-02-2010 04:44,464,3233,$100.99,Swipe Transaction,85077,Orlando,FL,32804,7538,
7596357,01-02-2010 05:09,1098,4626,$12.02,Swipe Transaction,5801,Alta,IA,51002,5912,
7596373,01-02-2010 05:42,96,3695,$1.85,Swipe Transaction,14528,Yorba Linda,CA,92887,5499,
7596423,01-02-2010 06:09,1963,5418,$148.80,Online Transaction,34490,ONLINE,,,5719,
7596440,01-02-2010 06:14,96,3695,$1.12,Swipe Transaction,14528,Yorba Linda,CA,92887,5499,
7596457,01-02-2010 06:17,1963,5418,$69.74,Online Transaction,38602,ONLINE,,,5311,
7596472,01-02-2010 06:20,1797,1127,$20.44,Online Transaction,15143,ONLINE,,,4784,
7596487,01-02-2010 06:23,1659,260,$1.83,Swipe Transaction,75781,Waukegan,IL,60085,5411,
7596495,01-02-2010 06:25,1559,2920,$4.55,Swipe Transaction,55060,Acworth,GA,30101,5812,
7596496,01-02-2010 06:25,1696,2408,$13.03,Online Transaction,50404,ONLINE,,,4784,
7596520,01-02-2010 06:31,1963,5418,$5.99,Swipe Transaction,43293,Vacaville,CA,95687,5499,
7596536,01-02-2010 06:35,1595,2429,$35.57,Swipe Transaction,80141,Bronx,NY,10463,5411,
7596572,01-02-2010 06:41,1797,1127,$37.94,Online Transaction,15143,ONLINE,,,4784,
7596584,01-02-2010 06:42,1718,4706,$13.93,Swipe Transaction,23695,West Covina,CA,91792,5411,Insufficient Balance
7596585,01-02-2010 06:42,1718,4706,$2.69,Swipe Transaction,23695,West Covina,CA,91792,5411,
7596629,01-02-2010 06:54,997,5046,$47.16,Online Transaction,16798,ONLINE,,,4121,
7596749,01-02-2010 07:18,1963,4565,$20.25,Swipe Transaction,88852,Vacaville,CA,95687,4121,
7596774,01-02-2010 07:22,1718,2029,$43.81,Swipe Transaction,57966,Alhambra,CA,91803,7832,
7596814,01-02-2010 07:31,1963,4565,$6.42,Swipe Transaction,20519,Elk Grove,CA,95757,5942,
7596821,01-02-2010 07:33,987,5090,$26.95,Online Transaction,39021,ONLINE,,,4784,
7596822,01-02-2010 07:33,997,5046,$1.08,Swipe Transaction,14528,Chula Vista,CA,91913,5499,
